source_image,target_image,pose_error_norm,pose_best_output,expression_sim,expression_best_output,id_similarity,id_best_output,valid_outputs,total_outputs
/storage/users/multicog/mehul/RealismGuidance/data/source/10505.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/24336.jpg,0.0352,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10505__24336/n08/img/10505__24336__final__s02.png,0.9908,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10505__24336/n08/img/10505__24336__final__s06.png,0.7751,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10505__24336/n08/img/10505__24336__final__s07.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/19640.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/25536.jpg,0.0361,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/19640__25536/n08/img/19640__25536__final__s04.png,0.9967,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/19640__25536/n08/img/19640__25536__final__s04.png,0.3182,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/19640__25536/n08/img/19640__25536__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/03211.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/09989.jpg,0.0546,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/03211__09989/n08/img/03211__09989__final__s01.png,0.9944,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/03211__09989/n08/img/03211__09989__final__s03.png,0.2287,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/03211__09989/n08/img/03211__09989__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/15392.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/28995.jpg,0.113,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/15392__28995/n08/img/15392__28995__final__s07.png,0.9897,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/15392__28995/n08/img/15392__28995__final__s00.png,0.2492,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/15392__28995/n08/img/15392__28995__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/28436.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/23645.jpg,1.0,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/28436__23645/n08/img/28436__23645__final__s00.png,0.988,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/28436__23645/n08/img/28436__23645__final__s04.png,0.2991,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/28436__23645/n08/img/28436__23645__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/20413.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/10399.jpg,0.1406,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/20413__10399/n08/img/20413__10399__final__s07.png,0.9958,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/20413__10399/n08/img/20413__10399__final__s00.png,0.4187,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/20413__10399/n08/img/20413__10399__final__s06.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/23239.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/21334.jpg,1.0,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/23239__21334/n08/img/23239__21334__final__s00.png,0.9992,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/23239__21334/n08/img/23239__21334__final__s05.png,0.7677,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/23239__21334/n08/img/23239__21334__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/06509.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/02712.jpg,0.058,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/06509__02712/n08/img/06509__02712__final__s02.png,0.9877,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/06509__02712/n08/img/06509__02712__final__s06.png,0.1831,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/06509__02712/n08/img/06509__02712__final__s01.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/28860.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/29785.jpg,0.025,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/28860__29785/n08/img/28860__29785__final__s03.png,0.9949,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/28860__29785/n08/img/28860__29785__final__s03.png,0.4228,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/28860__29785/n08/img/28860__29785__final__s03.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/10253.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/17779.jpg,0.1111,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10253__17779/n08/img/10253__17779__final__s01.png,0.9942,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10253__17779/n08/img/10253__17779__final__s00.png,0.3294,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-28-10-47-40/10253__17779/n08/img/10253__17779__final__s07.png,8,8
