source_image,target_image,pose_error_norm,pose_best_output,expression_sim,expression_best_output,id_similarity,id_best_output,valid_outputs,total_outputs
/storage/users/multicog/mehul/RealismGuidance/data/source/28860.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/29785.jpg,0.0298,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/28860__29785/n08/img/28860__29785__final__s06.png,0.9879,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/28860__29785/n08/img/28860__29785__final__s06.png,0.4406,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/28860__29785/n08/img/28860__29785__final__s03.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/10253.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/17779.jpg,0.1515,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10253__17779/n08/img/10253__17779__final__s05.png,0.998,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10253__17779/n08/img/10253__17779__final__s00.png,0.3782,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10253__17779/n08/img/10253__17779__final__s03.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/08658.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/24361.jpg,0.0858,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/08658__24361/n08/img/08658__24361__final__s02.png,0.9889,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/08658__24361/n08/img/08658__24361__final__s01.png,0.4803,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/08658__24361/n08/img/08658__24361__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/19318.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/02645.jpg,0.1624,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/19318__02645/n08/img/19318__02645__final__s02.png,0.8889,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/19318__02645/n08/img/19318__02645__final__s00.png,0.521,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/19318__02645/n08/img/19318__02645__final__s05.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/04758.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/09267.jpg,0.8163,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/04758__09267/n08/img/04758__09267__final__s04.png,0.9931,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/04758__09267/n08/img/04758__09267__final__s03.png,0.6373,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/04758__09267/n08/img/04758__09267__final__s03.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/05007.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/21330.jpg,0.0605,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/05007__21330/n08/img/05007__21330__final__s07.png,0.996,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/05007__21330/n08/img/05007__21330__final__s04.png,0.3573,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/05007__21330/n08/img/05007__21330__final__s02.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/16972.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/12281.jpg,0.0352,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/16972__12281/n08/img/16972__12281__final__s05.png,0.9918,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/16972__12281/n08/img/16972__12281__final__s02.png,0.2473,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/16972__12281/n08/img/16972__12281__final__s04.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/10479.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/16886.jpg,0.0698,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10479__16886/n08/img/10479__16886__final__s03.png,0.9958,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10479__16886/n08/img/10479__16886__final__s05.png,0.7663,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/10479__16886/n08/img/10479__16886__final__s00.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/07929.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/17635.jpg,0.076,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/07929__17635/n08/img/07929__17635__final__s00.png,0.9952,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/07929__17635/n08/img/07929__17635__final__s07.png,0.3055,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/07929__17635/n08/img/07929__17635__final__s05.png,8,8
/storage/users/multicog/mehul/RealismGuidance/data/source/22279.jpg,/storage/users/multicog/mehul/RealismGuidance/data/target/29539.jpg,1.0,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/22279__29539/n08/img/22279__29539__final__s00.png,0.9908,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/22279__29539/n08/img/22279__29539__final__s03.png,0.4276,/storage/users/multicog/mehul/RealismGuidance/output/checkpoints/batch/2026-04-30-04-10-15/22279__29539/n08/img/22279__29539__final__s02.png,8,8
